temp,fatalities
282.72727272727275,828.0
282.75,811.0
282.77777777777777,732.0
282.8,1474.0
282.8181818181818,230.0
282.8333333333333,47.0
282.85714285714283,72.0
282.875,79.0
282.8888888888889,809.0
282.9,769.0
282.90909090909093,306.0
282.9166666666667,6.0
283.0,4031.0
283.0833333333333,27.0
283.09090909090907,1071.0
283.1,793.0
283.1111111111111,423.0
283.125,108.0
283.1428571428572,80.0
283.1666666666667,534.0
283.1818181818182,565.0
283.2,742.0
283.22222222222223,348.0
283.25,1113.0
283.27272727272725,608.0
283.2857142857143,17.0
283.3,487.0
283.3333333333333,751.0
283.3636363636364,677.0
283.375,255.0
283.4,636.0
283.4166666666667,404.0
283.42857142857144,2.0
283.44444444444446,958.0
283.45454545454544,235.0
283.5,1284.0
283.54545454545456,558.0
283.55555555555554,641.0
283.57142857142856,10.0
283.5833333333333,8.0
283.6,1020.0
283.625,238.0
283.6363636363636,889.0
283.6666666666667,472.0
283.7,1279.0
283.7142857142857,186.0
283.72727272727275,186.0
283.75,999.0
283.77777777777777,492.0
283.8,1733.0
283.8181818181818,498.0
283.8333333333333,55.0
283.85714285714283,5.0
283.875,251.0
283.8888888888889,836.0
283.9,1065.0
283.90909090909093,697.0
283.9166666666667,247.0
284.0,3532.0
284.0833333333333,56.0
284.09090909090907,652.0
284.1,646.0
284.1111111111111,520.0
284.125,117.0
284.1428571428572,89.0
284.1666666666667,2.0
284.1818181818182,711.0
284.2,693.0
284.22222222222223,588.0
284.25,1945.0
284.27272727272725,617.0
284.2857142857143,113.0
284.3,820.0
284.3333333333333,980.0
284.3636363636364,537.0
284.375,1136.0
284.4,1357.0
284.4166666666667,587.0
284.42857142857144,130.0
284.44444444444446,596.0
284.45454545454544,590.0
284.5,1503.0
284.54545454545456,632.0
284.55555555555554,667.0
284.57142857142856,38.0
284.5833333333333,6.0
284.6,793.0
284.625,146.0
284.6363636363636,771.0
284.6666666666667,513.0
284.7,4423.0
284.7142857142857,104.0
284.72727272727275,206.0
284.75,531.0
284.77777777777777,880.0
284.8,762.0
284.8181818181818,326.0
284.8333333333333,735.0
