prec,fatalities
3.250166666666666e-05,9.0
3.26775e-05,16.0
3.284044444444444e-05,3.0
3.285666666666667e-05,1.0
3.326285714285714e-05,6.0
3.352142857142857e-05,2.0
3.365833333333333e-05,0.0
3.379375e-05,1.0
3.395888888888889e-05,64.0
3.401833333333333e-05,1.0
3.406285714285714e-05,7.0
3.408857142857143e-05,16.0
3.416888888888889e-05,147.0
3.4182857142857145e-05,3.0
3.463285714285715e-05,3.0
3.4698e-05,11.0
3.4725e-05,2.0
3.485909090909091e-05,6.0
3.4892e-05,94.0
3.499e-05,2.0
3.504166666666667e-05,1.0
3.5165e-05,143.0
3.53e-05,53.0
3.535333333333333e-05,3.0
3.540777777777778e-05,1.0
3.560166666666667e-05,43.0
3.590857142857143e-05,5.0
3.593111111111111e-05,30.0
3.596363636363636e-05,34.0
3.60525e-05,16.0
3.647e-05,4.0
3.6536666666666665e-05,5.0
3.690200000000001e-05,0.0
3.7255e-05,1.0
3.7332e-05,4.0
3.774428571428572e-05,1.0
3.77775e-05,13.0
3.7808333333333335e-05,2.0
3.782142857142857e-05,8.0
3.815e-05,23.0
3.8214e-05,1.0
3.840333333333333e-05,6.0
3.852e-05,240.0
3.881375e-05,77.0
3.8935000000000006e-05,30.0
3.8946e-05,2.0
3.9095e-05,2.0
3.91025e-05,17.0
3.926714285714286e-05,27.0
3.957333333333333e-05,1.0
3.97125e-05,0.0
3.9728e-05,1.0
4e-05,16.0
4.000675e-05,10.0
4.00275e-05,2.0
4.006e-05,9.0
4.030375e-05,3.0
4.0432e-05,2.0
4.061833333333333e-05,2.0
4.066666666666666e-05,114.0
4.0826e-05,7.0
4.083285714285714e-05,7.0
4.08364e-05,11.0
4.0905714285714285e-05,3.0
4.095833333333333e-05,20.0
4.1285e-05,11.0
4.139555555555556e-05,11.0
4.16875e-05,0.0
4.1955e-05,1.0
4.195857142857143e-05,17.0
4.208333333333333e-05,3.0
4.231e-05,1.0
4.245e-05,88.0
4.2804000000000006e-05,1.0
4.296833333333333e-05,3.0
4.2985e-05,48.0
4.3006e-05,86.0
4.301875e-05,1.0
4.3388e-05,0.0
4.3448e-05,4.0
4.358666666666667e-05,21.0
4.361222222222222e-05,1.0
4.367111111111112e-05,1.0
4.3700000000000005e-05,15.0
4.3722e-05,2.0
4.384571428571428e-05,11.0
4.387428571428572e-05,1.0
4.3968e-05,26.0
4.4085714285714285e-05,63.0
4.410666666666667e-05,103.0
4.441857142857143e-05,8.0
4.4783333333333335e-05,4.0
4.49475e-05,22.0
4.516888888888889e-05,2.0
4.519285714285714e-05,76.0
4.5218e-05,1.0
4.5291818181818185e-05,1.0
4.53e-05,0.0
4.554125e-05,3.0
4.576666666666667e-05,11.0
4.591714285714285e-05,21.0
4.599285714285714e-05,4.0
4.6222e-05,8.0
4.625e-05,0.0
4.653875e-05,3.0
