rh,fatalities
20.69454545454545,6.0
20.696363636363635,0.0
20.70272727272727,85.0
20.70833333333333,1257.0
20.71818181818182,26.0
20.725454545454543,36.0
20.727,9.0
20.736363636363635,1.0
20.74,30.0
20.75454545454545,2.0
20.76363636363636,21.0
20.76636363636364,68.0
20.790909090909093,28.0
20.827272727272728,9.0
20.83,4.0
20.83636363636364,51.0
20.87,1.0
20.872727272727275,1.0
20.874166666666664,174.0
20.9,24.0
20.901818181818182,12.0
20.90909090909091,2.0
20.910000000000004,36.0
20.910833333333333,87.0
20.945454545454545,1.0
20.94833333333333,57.0
20.96583333333333,93.0
20.980833333333333,560.0
20.98090909090909,7.0
20.981818181818184,13.0
21.009090909090908,13.0
21.01818181818182,39.0
21.025454545454547,5.0
21.036363636363635,240.0
21.05454545454545,3.0
21.05454545454546,6.0
21.09090909090909,4.0
21.10909090909091,1.0
21.11,10.0
21.133333333333333,54.0
21.145,331.0
21.145454545454545,17.0
21.154545454545456,62.0
21.16,7.0
21.163636363636364,0.0
21.166666666666668,0.0
21.183333333333334,85.0
21.19090909090909,8.0
21.19454545454545,15.0
21.22,27.0
21.25,86.0
21.25454545454545,1.0
21.274166666666662,435.0
21.275,51.0
21.28,1.0
21.30181818181818,6.0
21.311,44.0
21.345454545454544,0.0
21.354545454545452,106.0
21.363636363636363,28.0
21.4,4.0
21.40363636363637,2.0
21.409166666666668,46.0
21.418181818181814,3.0
21.4525,169.0
21.454545454545453,0.0
21.48583333333333,553.0
21.5,37.0
21.51818181818182,5.0
21.524545454545457,11.0
21.55454545454545,5.0
21.6,2.0
21.61,35.0
21.617272727272727,20.0
21.62,1.0
21.62727272727273,0.0
21.63636363636364,24.0
21.663636363636364,24.0
21.668333333333333,34.0
21.69,1.0
21.690909090909088,60.0
21.71666666666667,3.0
21.74,8.0
21.745,19.0
21.75,211.0
21.779090909090908,25.0
21.78333333333333,15.0
21.8,1.0
21.80909090909091,2.0
21.815454545454543,12.0
21.84,4.0
21.84636363636364,24.0
21.863636363636363,64.0
21.866666666666667,2.0
21.9,19.0
21.91,1.0
21.91090909090909,22.0
21.925454545454546,9.0
21.92727272727273,46.0
21.94,0.0
21.95,4.0
21.96333333333333,10.0
21.96363636363636,4.0
21.971818181818183,367.0
22.002727272727277,77.0
22.003636363636364,2.0
22.016666666666666,1.0
22.03636363636364,10.0
22.045454545454547,97.0
22.05555555555556,3.0
22.063636363636363,63.0
22.143636363636364,2.0
22.145454545454545,66.0
22.14727272727273,6.0
22.161666666666665,5.0
22.190909090909088,187.0
22.1975,6.0
22.225,18.0
22.23,4.0
22.245454545454542,4.0
22.255454545454544,2.0
22.272727272727277,17.0
22.28181818181818,18.0
22.291818181818183,5.0
22.3,6.0
22.30181818181818,44.0
22.319090909090907,9.0
22.363636363636363,4.0
22.37,0.0
22.381818181818183,3.0
22.383333333333333,3.0
22.39,3.0
22.42090909090909,68.0
22.44545454545454,2.0
22.445454545454545,14.0
22.45090909090909,2.0
22.450909090909093,42.0
22.5,179.0
22.504,43.0
22.509090909090908,6.0
22.51818181818182,77.0
22.541666666666668,368.0
22.55454545454545,4.0
22.566666666666663,80.0
22.59090909090909,114.0
22.59636363636364,3.0
22.61818181818182,3.0
22.67,4.0
22.672727272727272,32.0
22.681818181818183,5.0
22.683333333333334,50.0
22.7,46.0
22.71,9.0
22.71818181818182,4.0
22.723000000000003,16.0
22.728181818181817,1.0
22.736363636363635,4.0
22.73636363636364,1.0
22.74454545454545,6.0
22.745454545454542,15.0
22.78,15.0
22.8,1.0
22.80909090909091,94.0
22.809090909090912,10.0
22.81583333333333,9.0
22.818181818181817,14.0
22.827272727272724,2.0
22.827272727272728,58.0
22.864166666666662,24.0
22.87,0.0
22.872727272727275,2.0
22.88,1.0
22.9,2.0
22.918181818181814,1.0
22.954545454545453,11.0
22.966666666666665,1.0
22.972727272727276,1.0
22.975,714.0
23.0,21.0
23.01111111111111,10.0
23.027272727272727,8.0
23.03,16.0
23.036363636363635,2.0
23.045454545454547,118.0
23.05,6.0
23.05454545454545,39.0
23.063636363636363,2.0
23.075833333333332,4.0
23.118181818181817,3.0
23.12090909090909,214.0
23.163636363636364,96.0
23.175,100.0
23.18,306.0
23.244166666666665,176.0
23.245454545454542,0.0
23.266666666666666,0.0
23.272727272727277,57.0
23.29083333333333,91.0
23.290909090909093,1.0
23.3,4.0
23.306666666666665,23.0
23.327272727272728,3.0
23.335454545454542,48.0
23.345454545454544,1.0
23.354545454545452,1160.0
23.366666666666664,89.0
23.39090909090909,125.0
23.4,629.0
23.42,38.0
23.426666666666662,11.0
23.42727272727273,4.0
23.43636363636364,310.0
23.441666666666663,34.0
23.44545454545454,3.0
23.445454545454545,3.0
23.46333333333333,8.0
23.5,31.0
23.51,49.0
23.51636363636364,117.0
23.527272727272727,22.0
23.545454545454547,8.0
23.55454545454545,20.0
23.563636363636363,136.0
23.5775,216.0
23.59,0.0
23.59090909090909,11.0
23.616666666666667,19.0
23.62,1.0
23.63636363636364,6.0
23.645454545454548,81.0
23.654545454545456,1.0
23.65833333333333,635.0
23.672727272727272,4.0
23.68,4.0
23.69090909090909,6.0
23.691666666666663,23.0
23.700000000000003,6.0
23.70909090909091,18.0
23.758333333333336,49.0
23.772727272727277,28.0
23.78,2.0
23.8,34.0
23.80909090909091,6.0
23.81666666666667,14062.0
23.82,7.0
23.827272727272728,64.0
23.83333333333333,17.0
23.83636363636364,4.0
23.85,2.0
23.854545454545452,9.0
23.87272727272727,3.0
23.891666666666666,19.0
23.90909090909091,55.0
23.918181818181814,11.0
23.92727272727273,0.0
23.93,1.0
23.945454545454545,13.0
23.963636363636365,11.0
23.99,17.0
23.99090909090909,30.0
23.991666666666664,123.0
24.0,81.0
24.009090909090908,19.0
24.018181818181816,0.0
24.027272727272727,5.0
24.036363636363635,20.0
24.053636363636365,2.0
24.063636363636363,3.0
24.064,44.0
24.07,1.0
24.08181818181818,3.0
24.08333333333333,39.0
24.09090909090909,58.0
24.1,43.0
24.10909090909091,49.0
24.118181818181817,56.0
24.11818181818182,10.0
24.127272727272725,4.0
24.145454545454545,12.0
24.154545454545456,24.0
24.160833333333333,5.0
24.163636363636364,0.0
24.172727272727272,171.0
24.183333333333334,0.0
24.19090909090909,38.0
24.191666666666663,54.0
24.20833333333333,41.0
24.210833333333333,261.0
24.23,4.0
24.23636363636364,2.0
24.245454545454542,5.0
24.25,6.0
24.25454545454545,273.0
24.26363636363636,23.0
24.28181818181818,19.0
24.290000000000003,108.0
24.3,0.0
24.327272727272728,2.0
24.33636363636364,2.0
24.34083333333333,5.0
24.35,2.0
24.35454545454545,19.0
24.37272727272727,0.0
24.372727272727275,22.0
24.381818181818183,1.0
24.4,113.0
24.42727272727273,0.0
24.436363636363637,23.0
24.43636363636364,41.0
24.441666666666663,90.0
24.445454545454545,13.0
24.44545454545455,6.0
24.463636363636365,15.0
24.48181818181818,0.0
24.481818181818184,14.0
24.48333333333333,2.0
24.49,32.0
24.49090909090909,14.0
24.518181818181816,15.0
24.51818181818182,3.0
24.525,14.0
24.527272727272727,45.0
24.536363636363635,65.0
24.53636363636364,20.0
24.55,14.0
24.55454545454545,15.0
24.572727272727278,1.0
24.581818181818186,12.0
24.59090909090909,93.0
24.6,18.0
24.60909090909091,12.0
24.61111111111111,3.0
24.616666666666667,20.0
24.618181818181817,4.0
24.61818181818182,4.0
24.645454545454545,100.0
24.654545454545453,6.0
24.663636363636364,3.0
24.681818181818183,47.0
24.689,5.0
24.7,3.0
24.70909090909091,141.0
24.73636363636364,30.0
24.75,240.0
24.75454545454545,21.0
24.76363636363636,16.0
24.766666666666666,120.0
24.772727272727277,13.0
24.79090909090909,42.0
24.790909090909093,75.0
24.818181818181817,15.0
24.827272727272728,31.0
24.83,4.0
24.83636363636364,4.0
24.84166666666667,38.0
24.85,106.0
24.854545454545452,1.0
24.863636363636363,39.0
24.89090909090909,32.0
24.89833333333333,128.0
24.918181818181814,13.0
24.925,15.0
24.941666666666663,3.0
24.944444444444443,1.0
24.94545454545454,0.0
24.945454545454545,27.0
24.954545454545453,39.0
24.963636363636365,2.0
24.972727272727276,39.0
24.98,29.0
24.981818181818184,4.0
24.99,0.0
24.99090909090909,11.0
25.0,3.0
25.01,19.0
25.027272727272727,11.0
25.03333333333333,3.0
25.036363636363635,2.0
25.05454545454545,39.0
25.063636363636363,17.0
25.067272727272726,6.0
25.072727272727278,65.0
25.1,40.0
25.10833333333333,147.0
25.116666666666667,31.0
25.12,3.0
25.133333333333333,21.0
25.145454545454545,0.0
25.145454545454548,2.0
25.154545454545453,5.0
25.154545454545456,1.0
25.163636363636364,15.0
25.17,49.0
25.17272727272728,2.0
25.18,83.0
25.181818181818183,49.0
25.183333333333334,132.0
25.188888888888886,2.0
25.19090909090909,3.0
25.20909090909091,171.0
25.21818181818182,10.0
25.22,11.0
25.227272727272727,2.0
25.23333333333333,5.0
25.23636363636364,5.0
25.241666666666667,113.0
25.245454545454542,26.0
25.25,1435.0
25.25454545454545,23.0
25.254545454545458,42.0
25.26363636363636,7.0
25.26666666666667,68.0
25.272727272727277,28.0
25.28181818181818,20.0
25.29090909090909,1.0
25.290909090909093,32.0
25.308333333333334,2.0
25.31,7.0
25.318181818181817,30.0
25.327272727272728,13.0
25.345454545454544,30.0
25.345454545454547,3.0
25.35454545454545,2.0
25.36,3.0
25.363636363636363,7.0
25.366666666666667,112.0
25.382727272727276,4.0
25.4,20.0
25.40833333333333,26.0
25.418181818181814,5.0
25.42727272727273,110.0
25.43636363636364,39.0
25.445454545454545,5.0
25.454545454545453,3.0
25.45833333333333,23.0
25.463636363636365,36.0
25.475,1.0
25.481818181818184,16.0
25.48333333333333,27.0
25.49090909090909,14.0
25.5,162.0
25.50909090909091,4.0
25.51818181818182,14.0
25.52,34.0
25.527272727272727,155.0
25.545454545454547,36.0
25.558333333333334,42.0
25.56090909090909,30.0
25.56363636363637,1.0
25.57272727272727,16.0
25.572727272727278,7.0
25.581818181818186,0.0
25.59090909090909,50.0
25.6,71.0
25.60909090909091,17.0
25.61111111111111,5.0
25.62,2.0
25.627272727272725,6.0
25.62727272727273,170.0
25.64,6.0
25.65,139.0
25.663636363636364,2.0
25.675,21.0
25.677777777777777,0.0
25.68,21.0
25.681818181818183,2.0
25.69090909090909,37.0
25.691666666666663,47.0
25.7,132.0
25.709090909090907,30.0
25.70909090909091,8.0
25.727272727272727,13.0
25.73636363636364,15.0
25.75,22.0
25.75454545454545,44.0
25.76,4.0
25.766666666666666,2.0
25.76666666666667,0.0
25.78,8.0
25.78333333333333,4.0
25.79090909090909,3.0
25.8,39.0
25.80909090909091,10.0
25.818181818181817,149.0
25.83636363636364,429.0
25.85454545454545,32.0
25.863636363636363,1.0
25.881818181818183,11.0
25.90909090909091,152.0
25.92727272727273,14.0
25.93636363636364,67.0
25.945454545454545,3.0
25.954545454545453,4.0
25.96,1.0
25.96363636363636,101.0
25.963636363636365,38.0
25.96666666666667,5.0
25.98181818181818,39.0
25.98333333333333,5.0
25.99,2.0
25.99090909090909,1.0
26.0,4.0
26.01,20.0
26.016666666666666,10.0
26.01818181818182,7.0
26.025,6.0
26.036363636363635,36.0
26.041666666666668,115.0
26.06363636363637,2.0
26.08,49.0
26.081818181818186,36.0
26.09090909090909,17.0
26.1,33.0
26.109090909090902,11.0
26.118181818181817,13.0
26.127272727272725,0.0
26.12727272727273,30.0
26.13,6.0
26.14166666666667,45.0
26.145454545454545,18.0
26.154545454545456,7.0
26.172727272727272,122.0
26.181818181818183,9.0
26.19090909090909,2.0
26.191666666666663,0.0
26.2,26.0
26.20833333333333,0.0
26.209090909090907,86.0
26.21,3.0
26.21818181818182,32.0
26.22,9.0
26.227272727272727,1.0
26.241666666666667,427.0
26.245454545454542,8.0
26.25454545454545,2.0
26.26363636363636,174.0
26.272727272727277,74.0
26.28181818181818,74.0
26.281818181818185,31.0
26.290909090909093,45.0
26.3,94.0
26.30909090909091,54.0
26.31,3.0
26.318181818181817,23.0
26.33636363636364,28.0
26.345454545454544,8.0
26.35,2.0
26.354545454545452,53.0
